# source: TM-100991 pdf p.101, Figure C30
# quantity: F_HM7 -- HMU maximum fuel-parameter limit during acceleration (Fig. C21, pdf p.93: WFPAC = F_HM7(T2, PCNGHL))
# method: digitized -- the seven curves are PIECEWISE LINEAR between their printed
#   markers, so this extracts their vertices rather than tracing their lines. Each
#   value below is the centre of an ink run measured in the named column; the
#   identity of the curve that run belongs to comes from rank in y where the fan is
#   open and ordered by T2 (PCNGHL 55-82), and from the printed digit markers where
#   it is not (the bundle at 85-95 and the drops beyond it). Rank is NOT identity
#   through the bundle: the curves emerge from it ordered 4, 3, 5, 6, 7 with 1 and 2
#   already descending, which is why tools/digitize_multi_curve.py refuses this page.
# CHECK. Every segment between consecutive knots is sampled and required to lie on
#   ink: mean coverage 0.9850; the worst seed named a run 0.087 WFPAC away.
# t2_degR: T2 curve parameter, deg R
# pcnghl_pct: PCNGHL sensed gas turbine speed, percent
# wfpac: WFPAC fuel flow acceleration limit parameter, nondimensional
# points: 192
# digitized: 2026-09-13 by tools/digitize_c30.py -- reruns and reproduces this file
#   exactly
# RASTER. pdf p.101 is a single 300 dpi 1-bit CCITT image (2544x3300); this works
#   on that bitmap directly and never resamples it.
# CALIBRATION. Frame, tick lattice and axis polynomials come from
#   tools/digitize_single_curve.py unchanged, so this figure is calibrated exactly as the
#   other fourteen are.
#   x: order 1, interior-tick residual 0.1033 over 10 ticks
#   y: order 1, interior-tick residual 0.005328 over 8 ticks
# NOT transcribed. Values carry read error.
t2_degR,pcnghl_pct,wfpac
430.0,103.9283,0.9776
460.0,54.8744,3.7548
460.0,56.8968,3.7527
460.0,57.9424,3.7247
460.0,60.8793,3.6402
460.0,61.8939,3.6014
460.0,62.9080,3.5660
460.0,63.9950,3.5239
460.0,67.9699,3.3846
460.0,72.1028,3.2914
460.0,76.1026,3.2617
460.0,80.0266,3.2925
460.0,81.9106,3.3646
460.0,83.9086,3.4394
460.0,83.8745,3.4283
460.0,87.9269,3.5795
460.0,88.8859,3.6412
460.0,89.8569,3.7027
460.0,93.6522,3.6940
460.0,94.5813,3.6941
460.0,95.9404,3.4023
460.0,97.9643,2.9198
460.0,98.9959,2.6561
460.0,100.0269,2.3970
460.0,101.0213,2.1435
460.0,102.0573,1.8193
460.0,103.1029,1.3760
460.0,103.9268,0.9967
480.0,54.8728,3.7717
480.0,56.8947,3.7752
480.0,59.5931,3.7262
480.0,60.8738,3.6987
480.0,61.8873,3.6712
480.0,62.9008,3.6437
480.0,63.9867,3.6128
480.0,68.2867,3.4976
480.0,71.9883,3.4049
480.0,76.1266,3.3318
480.0,80.1113,3.3456
480.0,82.7203,3.4187
480.0,83.9673,3.4584
480.0,83.8745,3.4283
480.0,87.7772,3.5739
480.0,88.8831,3.6738
480.0,90.8988,3.7279
480.0,91.9059,3.7634
480.0,92.8784,3.7820
480.0,93.8883,3.7837
480.0,95.9084,3.7838
480.0,96.8827,3.7787
480.0,98.9455,3.2624
480.0,99.9752,3.0223
480.0,100.9707,2.7563
480.0,101.9992,2.5264
480.0,103.0304,2.2605
480.0,103.8413,2.0429
519.0,54.8728,3.7717
519.0,55.9887,3.7442
519.0,59.2246,3.8377
519.0,60.8620,3.8237
519.0,61.8739,3.8142
519.0,62.8860,3.8024
519.0,63.9689,3.8042
519.0,67.6768,3.7298
519.0,71.3858,3.6486
519.0,76.0598,3.5335
519.0,80.1004,3.4747
519.0,81.8996,3.4896
519.0,83.4140,3.5017
519.0,84.2631,3.5115
519.0,87.9589,3.6225
519.0,88.5369,3.5350
519.0,89.8569,3.7027
519.0,92.8873,3.6762
519.0,93.8993,3.6532
519.0,95.3895,3.5839
519.0,97.9101,3.5700
519.0,98.9218,3.5481
519.0,99.9336,3.5240
519.0,100.9090,3.5043
519.0,101.9316,3.3485
519.0,102.9625,3.0893
519.0,103.7725,2.8851
555.0,54.8728,3.7717
555.0,55.9887,3.7442
555.0,59.8829,3.8567
555.0,60.8564,3.8834
555.0,61.8648,3.9110
555.0,62.8777,3.8913
555.0,63.9595,3.9055
555.0,67.9790,3.8835
555.0,71.9462,3.8245
555.0,76.0578,3.7234
555.0,80.0587,3.6442
555.0,82.3996,3.6201
555.0,83.4044,3.6109
555.0,84.9199,3.6107
555.0,85.8934,3.6180
555.0,87.1184,3.6379
555.0,89.3177,3.6511
555.0,90.1333,3.7348
555.0,92.8909,3.6346
555.0,93.9028,3.6127
555.0,95.9266,3.5666
555.0,97.9143,3.5194
555.0,98.9261,3.4964
555.0,99.9377,3.4745
555.0,100.9133,3.4526
555.0,101.9366,3.2878
555.0,102.9705,2.9926
555.0,103.7725,2.8851
590.0,54.8728,3.7717
590.0,55.9887,3.7442
590.0,59.8829,3.8567
590.0,60.8564,3.8834
590.0,61.8648,3.9110
590.0,62.8735,3.9353
590.0,63.9519,3.9866
590.0,68.0116,4.0148
590.0,72.0174,3.9947
590.0,75.9531,3.9163
590.0,79.9323,3.8158
590.0,82.6810,3.7685
590.0,83.8797,3.7468
590.0,83.9263,3.7489
590.0,88.0571,3.7283
590.0,88.8806,3.7031
590.0,90.7670,3.7794
590.0,92.8941,3.5963
590.0,93.9060,3.5744
590.0,96.9129,3.5212
590.0,97.9177,3.4789
590.0,98.9296,3.4536
590.0,99.9417,3.4272
590.0,100.9174,3.4031
590.0,101.9366,3.2878
590.0,102.9722,2.9712
590.0,103.7830,2.7569
