# source: TM-100991 pdf p.45, Figure 9, panel T45
# quantity: T45 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 596.64 (slope -4.60 m px/row), right 2251.72 (slope -7.00), width 1655.08 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: T45, axis range 1250.0 to 2250.0, no unit printed on the figure
# points: 598
# x tick check: worst interior major tick off by 0.0152 s
# frame tilt corrected: top +5.60 px, bottom +5.20 px across the panel (+1.64 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
3.65565,1917.82471
3.65868,1917.83465
3.66169,1919.36342
3.66472,1917.85451
3.66773,1919.38329
3.67075,1919.39322
3.67377,1919.40316
3.67680,1919.41309
3.67982,1919.42303
3.74025,1919.62171
3.74327,1919.63164
3.74629,1919.64158
3.74932,1918.13264
3.75234,1918.14257
3.75535,1919.67138
3.75838,1919.68132
3.76140,1919.69125
3.76443,1918.18231
3.76745,1918.19224
3.77047,1918.20217
3.77348,1919.73099
3.77651,1918.22204
3.77954,1918.23197
3.83996,1919.94955
3.84298,1919.95949
3.84600,1919.96942
3.84903,1918.46045
3.85205,1918.47038
3.85507,1918.48031
3.85809,1918.49025
3.86111,1920.01909
3.86414,1918.51012
3.86716,1918.52005
3.87018,1918.52998
3.87320,1918.53992
3.87622,1918.54985
3.87925,1918.55978
3.93966,1921.79635
3.94268,1921.80629
3.94570,1921.81622
3.94872,1921.82616
3.95174,1921.83610
3.95476,1921.84603
3.95778,1921.85597
3.96081,1921.86590
3.96383,1921.87584
3.96685,1921.88578
3.96987,1921.89571
3.97289,1921.90565
3.97591,1921.91559
3.97894,1921.92552
4.05447,1922.17394
4.05750,1920.66490
4.06053,1920.67483
4.06355,1920.68477
4.06657,1920.69470
4.06958,1922.22363
4.07261,1920.71457
4.07563,1920.72451
4.13906,1923.97120
4.14209,1923.98113
4.14511,1923.99107
4.14813,1924.00101
4.15114,1925.52997
4.15416,1925.53991
4.15718,1925.54985
4.16020,1925.55979
4.16323,1925.56973
4.16626,1924.06064
4.16928,1924.07058
4.17230,1924.08052
4.17531,1925.60949
4.17833,1925.61942
4.23575,1924.28923
4.23877,1924.29917
4.24180,1924.30911
4.24481,1925.83810
4.24784,1924.32899
4.25086,1924.33893
4.25388,1924.34887
4.26597,1924.38862
4.26898,1925.91762
4.27201,1924.40850
4.27502,1925.93750
4.34453,1924.64704
4.34755,1924.65698
4.35057,1924.66692
4.36870,1924.72656
4.37172,1924.73650
4.37474,1924.74644
4.43517,1924.94523
4.43819,1924.95517
4.44121,1924.96511
4.44424,1924.97505
4.44726,1924.98499
4.45028,1924.99493
4.45330,1925.00487
4.45632,1925.01481
4.45934,1925.02475
4.46235,1926.55382
4.46538,1926.56376
4.46840,1926.57370
4.47142,1926.58364
